"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"attribute"
"Eastern Zeravshan";"Western Zeravshan";"310436";"1969_6";"Zeravshan, Zeravshan";NA;"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"ravniny severnogo Tadzhikistana/ Northern Tajikistan plainlands";"Southern Tajikistan";"331750";"1969_6";"Tajikistan / TadzhSSR, ravninnye oblasti Tadzh. / plainland regions of Tajikistan";"present";NA;NA;"changing / in a process of change"
"Estonia";"Uzbekistan / Uzbekskaja SSR";"33331";"1989_2";"Locations, Locations";"present";"Factual Statement by Author";NA;"growing (population: mnogodetnost')"
"Tajikistan / TadzhSSR";"Uzbekistan / Uzbekskaja SSR";"33331";"1989_2";"Locations, Locations";"present";"Factual Statement by Author";NA;"growing (population: mnogodetnost')"
"Estonia";"Tajikistan / TadzhSSR";"33331";"1989_2";"Locations, Locations";"present";"Factual Statement by Author";NA;"growing (population: mnogodetnost')"
"glukhie rajony Kirgizii";"glukhie rajony Tadzhikistana";"342618";"1967_5";"Tajikistan / TadzhSSR, Kirgizija / Kirgizskaja SSR";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"patriarchal"
"glukhie rajony Kirgizii";"glukhie rajony Tadzhikistana";"342618";"1967_5";"Tajikistan / TadzhSSR, Kirgizija / Kirgizskaja SSR";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"isolated / otdalennyj / trudnodostupnyj"
"glukhie rajony Kirgizii";"glukhie rajony Tadzhikistana";"342618";"1967_5";"Tajikistan / TadzhSSR, Kirgizija / Kirgizskaja SSR";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"undemocratic / hierarchical / despotic"
"glukhie rajony Tadzhikistana";"Karshinskaja step'";"342618";"1967_5";"Tajikistan / TadzhSSR, Uzbekistan / Uzbekskaja SSR";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"patriarchal"
"glukhie rajony Tadzhikistana";"Karshinskaja step'";"342618";"1967_5";"Tajikistan / TadzhSSR, Uzbekistan / Uzbekskaja SSR";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"isolated / otdalennyj / trudnodostupnyj"
"glukhie rajony Tadzhikistana";"Karshinskaja step'";"342618";"1967_5";"Tajikistan / TadzhSSR, Uzbekistan / Uzbekskaja SSR";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"undemocratic / hierarchical / despotic"
"glukhie rajony Tadzhikistana";"Khorezmskij oazis";"342618";"1967_5";"Tajikistan / TadzhSSR, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"patriarchal"
"glukhie rajony Tadzhikistana";"Khorezmskij oazis";"342618";"1967_5";"Tajikistan / TadzhSSR, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"isolated / otdalennyj / trudnodostupnyj"
"glukhie rajony Tadzhikistana";"Khorezmskij oazis";"342618";"1967_5";"Tajikistan / TadzhSSR, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"undemocratic / hierarchical / despotic"
"glukhie rajony Kirgizii";"Karshinskaja step'";"342618";"1967_5";"Kirgizija / Kirgizskaja SSR, Uzbekistan / Uzbekskaja SSR";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"patriarchal"
"glukhie rajony Kirgizii";"Karshinskaja step'";"342618";"1967_5";"Kirgizija / Kirgizskaja SSR, Uzbekistan / Uzbekskaja SSR";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"isolated / otdalennyj / trudnodostupnyj"
"glukhie rajony Kirgizii";"Karshinskaja step'";"342618";"1967_5";"Kirgizija / Kirgizskaja SSR, Uzbekistan / Uzbekskaja SSR";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"undemocratic / hierarchical / despotic"
"glukhie rajony Kirgizii";"Khorezmskij oazis";"342618";"1967_5";"Kirgizija / Kirgizskaja SSR, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"patriarchal"
"glukhie rajony Kirgizii";"Khorezmskij oazis";"342618";"1967_5";"Kirgizija / Kirgizskaja SSR, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"isolated / otdalennyj / trudnodostupnyj"
"glukhie rajony Kirgizii";"Khorezmskij oazis";"342618";"1967_5";"Kirgizija / Kirgizskaja SSR, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"undemocratic / hierarchical / despotic"
"Karshinskaja step'";"Khorezmskij oazis";"342618";"1967_5";"Uzbekistan / Uzbekskaja SSR, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"patriarchal"
"Karshinskaja step'";"Khorezmskij oazis";"342618";"1967_5";"Uzbekistan / Uzbekskaja SSR, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"isolated / otdalennyj / trudnodostupnyj"
"Karshinskaja step'";"Khorezmskij oazis";"342618";"1967_5";"Uzbekistan / Uzbekskaja SSR, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"undemocratic / hierarchical / despotic"
"afgony Gissarskogo, Shakhrinauskogo i Regarskogo rajonov Taj.";"tadzhiki";"350670";"1956_2";"Groups, Groups";"present";"Factual Statement by Author";NA;"zazhitochno / wealthy / prosperous"
"ravninnye tadzhiki";"verkhovja Zeravshana / Verkhnij Zeravshan / gornyj Zeravshan";"353872";"1979_3";"groups in plainland regions, Zeravshan";"present";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"kirgizy";"tadzhiki";"357259";"1967_5";"Groups, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"matriarchal"
"kirgizy";"tadzhiki";"357259";"1967_5";"Groups, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"archaic / arkhaichno"
"kazakhi";"tadzhiki";"357259";"1967_5";"Groups, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"matriarchal"
"kazakhi";"tadzhiki";"357259";"1967_5";"Groups, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"archaic / arkhaichno"
"tadzhiki";"uzbeki";"357259";"1967_5";"Groups, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"matriarchal"
"tadzhiki";"uzbeki";"357259";"1967_5";"Groups, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"archaic / arkhaichno"
"kazakhi";"kirgizy";"357259";"1967_5";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"matriarchal"
"kazakhi";"kirgizy";"357259";"1967_5";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"archaic / arkhaichno"
"kirgizy";"uzbeki";"357259";"1967_5";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"matriarchal"
"kirgizy";"uzbeki";"357259";"1967_5";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"archaic / arkhaichno"
"kazakhi";"uzbeki";"357259";"1967_5";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"matriarchal"
"kazakhi";"uzbeki";"357259";"1967_5";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"archaic / arkhaichno"
"Historical Northern Tajikistan (Sogd + Ferghana)";"Sogd";"357722";"1963_5";"Historical locations, Historical Northern Tajikistan (Sogd + Ferghana)";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"traditional / narodnyj / nacional'nyj"
"Historical Northern Tajikistan (Sogd + Ferghana)";"Sogd";"357722";"1963_5";"Historical locations, Historical Northern Tajikistan (Sogd + Ferghana)";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"archaic / arkhaichno"
"Historical Northern Tajikistan (Sogd + Ferghana)";"Sogd";"357722";"1963_5";"Historical locations, Historical Northern Tajikistan (Sogd + Ferghana)";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"Muslim"
"Historical Northern Tajikistan (Sogd + Ferghana)";"Sogd";"357722";"1963_5";"Historical locations, Historical Northern Tajikistan (Sogd + Ferghana)";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"collectivist"
"Historical Northern Tajikistan (Sogd + Ferghana)";"ravninnye tadzhiki Fergany / plainlands Tajiks of Ferghana";"357722";"1963_5";"Historical locations, ravninnye tadzhiki";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"traditional / narodnyj / nacional'nyj"
"Historical Northern Tajikistan (Sogd + Ferghana)";"ravninnye tadzhiki Fergany / plainlands Tajiks of Ferghana";"357722";"1963_5";"Historical locations, ravninnye tadzhiki";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"archaic / arkhaichno"
"Historical Northern Tajikistan (Sogd + Ferghana)";"ravninnye tadzhiki Fergany / plainlands Tajiks of Ferghana";"357722";"1963_5";"Historical locations, ravninnye tadzhiki";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"Muslim"
"Historical Northern Tajikistan (Sogd + Ferghana)";"ravninnye tadzhiki Fergany / plainlands Tajiks of Ferghana";"357722";"1963_5";"Historical locations, ravninnye tadzhiki";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"collectivist"
"Historical Northern Tajikistan (Sogd + Ferghana)";"uzbeki";"357722";"1963_5";"Historical locations, Central Asian titular nations";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"traditional / narodnyj / nacional'nyj"
"Historical Northern Tajikistan (Sogd + Ferghana)";"uzbeki";"357722";"1963_5";"Historical locations, Central Asian titular nations";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"archaic / arkhaichno"
"Historical Northern Tajikistan (Sogd + Ferghana)";"uzbeki";"357722";"1963_5";"Historical locations, Central Asian titular nations";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"Muslim"
"Historical Northern Tajikistan (Sogd + Ferghana)";"uzbeki";"357722";"1963_5";"Historical locations, Central Asian titular nations";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"collectivist"
"ravninnye tadzhiki Fergany / plainlands Tajiks of Ferghana";"Sogd";"357722";"1963_5";"Historical Northern Tajikistan (Sogd + Ferghana), ravninnye tadzhiki";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"traditional / narodnyj / nacional'nyj"
"ravninnye tadzhiki Fergany / plainlands Tajiks of Ferghana";"Sogd";"357722";"1963_5";"Historical Northern Tajikistan (Sogd + Ferghana), ravninnye tadzhiki";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"archaic / arkhaichno"
"ravninnye tadzhiki Fergany / plainlands Tajiks of Ferghana";"Sogd";"357722";"1963_5";"Historical Northern Tajikistan (Sogd + Ferghana), ravninnye tadzhiki";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"Muslim"
"ravninnye tadzhiki Fergany / plainlands Tajiks of Ferghana";"Sogd";"357722";"1963_5";"Historical Northern Tajikistan (Sogd + Ferghana), ravninnye tadzhiki";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"collectivist"
"Sogd";"uzbeki";"357722";"1963_5";"Historical Northern Tajikistan (Sogd + Ferghana), Central Asian titular nations";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"traditional / narodnyj / nacional'nyj"
"Sogd";"uzbeki";"357722";"1963_5";"Historical Northern Tajikistan (Sogd + Ferghana), Central Asian titular nations";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"archaic / arkhaichno"
"Sogd";"uzbeki";"357722";"1963_5";"Historical Northern Tajikistan (Sogd + Ferghana), Central Asian titular nations";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"Muslim"
"Sogd";"uzbeki";"357722";"1963_5";"Historical Northern Tajikistan (Sogd + Ferghana), Central Asian titular nations";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"collectivist"
"ravninnye tadzhiki Fergany / plainlands Tajiks of Ferghana";"uzbeki";"357722";"1963_5";"ravninnye tadzhiki, Central Asian titular nations";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"traditional / narodnyj / nacional'nyj"
"ravninnye tadzhiki Fergany / plainlands Tajiks of Ferghana";"uzbeki";"357722";"1963_5";"ravninnye tadzhiki, Central Asian titular nations";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"archaic / arkhaichno"
"ravninnye tadzhiki Fergany / plainlands Tajiks of Ferghana";"uzbeki";"357722";"1963_5";"ravninnye tadzhiki, Central Asian titular nations";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"Muslim"
"ravninnye tadzhiki Fergany / plainlands Tajiks of Ferghana";"uzbeki";"357722";"1963_5";"ravninnye tadzhiki, Central Asian titular nations";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"collectivist"
"kirgizy";"uzbeki";"358678";"1967_5";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"matriarchal"
"kirgizy";"uzbeki";"358678";"1967_5";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"archaic / arkhaichno"
"kirgizy";"tadzhiki";"358678";"1967_5";"Central Asian titular nations, Groups";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"matriarchal"
"kirgizy";"tadzhiki";"358678";"1967_5";"Central Asian titular nations, Groups";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"archaic / arkhaichno"
"kirgizy";"turkmeny";"358678";"1967_5";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"matriarchal"
"kirgizy";"turkmeny";"358678";"1967_5";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"archaic / arkhaichno"
"tadzhiki";"uzbeki";"358678";"1967_5";"Central Asian titular nations, Groups";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"matriarchal"
"tadzhiki";"uzbeki";"358678";"1967_5";"Central Asian titular nations, Groups";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"archaic / arkhaichno"
"turkmeny";"uzbeki";"358678";"1967_5";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"matriarchal"
"turkmeny";"uzbeki";"358678";"1967_5";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"archaic / arkhaichno"
"tadzhiki";"turkmeny";"358678";"1967_5";"Groups, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"matriarchal"
"tadzhiki";"turkmeny";"358678";"1967_5";"Groups, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"archaic / arkhaichno"
"gornye tadzhiki";"kirgizy";"359803";"1967_5";"Central Asian titular nations, groups in mountainous regions";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"matriarchal"
"kazakhi";"kirgizy";"359803";"1967_5";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"matriarchal"
"gornye tadzhiki";"kazakhi";"359803";"1967_5";"groups in mountainous regions, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"matriarchal"
"tadzhiki Surkhandar'inskoj oblasti (Uzbekistan)";"uzbeki Surkhandar'inskoj oblasti";"368841";"1970_2";"Tajiks outside the Tajik SSR, uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA;"developed / razvito"
"kazakhi";"Lithuania";"37827";"1977_6";"Locations, Central Asian titular nations";"present";NA;NA;"changing / in a process of change"
"kirgizy";"Lithuania";"37827";"1977_6";"Locations, Central Asian titular nations";"present";NA;NA;"changing / in a process of change"
"Lithuania";"tadzhiki";"37827";"1977_6";"Locations, Groups";"present";NA;NA;"changing / in a process of change"
"Lithuania";"turkmeny";"37827";"1977_6";"Locations, Central Asian titular nations";"present";NA;NA;"changing / in a process of change"
"kazakhi";"kirgizy";"37827";"1977_6";"Central Asian titular nations, Central Asian titular nations";"present";NA;NA;"changing / in a process of change"
"kazakhi";"tadzhiki";"37827";"1977_6";"Central Asian titular nations, Groups";"present";NA;NA;"changing / in a process of change"
"kazakhi";"turkmeny";"37827";"1977_6";"Central Asian titular nations, Central Asian titular nations";"present";NA;NA;"changing / in a process of change"
"kirgizy";"tadzhiki";"37827";"1977_6";"Central Asian titular nations, Groups";"present";NA;NA;"changing / in a process of change"
"kirgizy";"turkmeny";"37827";"1977_6";"Central Asian titular nations, Central Asian titular nations";"present";NA;NA;"changing / in a process of change"
"tadzhiki";"turkmeny";"37827";"1977_6";"Groups, Central Asian titular nations";"present";NA;NA;"changing / in a process of change"
"turkmeny";"uzbeki";"388750";"1983_3";"Central Asian titular nations, Central Asian titular nations";NA;"Factual Statement by Author";NA;"avtokhtonno / autochthonous"
"tadzhiki";"turkmeny";"388750";"1983_3";"Central Asian titular nations, Groups";NA;"Factual Statement by Author";NA;"avtokhtonno / autochthonous"
"tadzhiki";"uzbeki";"388750";"1983_3";"Central Asian titular nations, Groups";NA;"Factual Statement by Author";NA;"avtokhtonno / autochthonous"
"jagnobcy / Yaghnobis";"tadzhiki";"39263";"1961_4";"groups in mountainous regions, Groups";"present";"Factual Statement by Author";NA;"mixed / coexisting"
"jagnobcy / Yaghnobis";"tadzhiki";"39263";"1961_4";"groups in mountainous regions, Groups";"present";"Factual Statement by Author";NA;"progressive / progressivnyj"
"jagnobcy / Yaghnobis";"tadzhiki";"39263";"1961_4";"groups in mountainous regions, Groups";"present";"Factual Statement by Author";NA;"changing / in a process of change"
"jagnobcy / Yaghnobis";"pripamirskie narodnosti / narody / pripamircy";"39263";"1961_4";"groups in mountainous regions, Pamir groups";"present";"Factual Statement by Author";NA;"mixed / coexisting"
"jagnobcy / Yaghnobis";"pripamirskie narodnosti / narody / pripamircy";"39263";"1961_4";"groups in mountainous regions, Pamir groups";"present";"Factual Statement by Author";NA;"progressive / progressivnyj"
"jagnobcy / Yaghnobis";"pripamirskie narodnosti / narody / pripamircy";"39263";"1961_4";"groups in mountainous regions, Pamir groups";"present";"Factual Statement by Author";NA;"changing / in a process of change"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"39263";"1961_4";"Groups, Pamir groups";"present";"Factual Statement by Author";NA;"mixed / coexisting"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"39263";"1961_4";"Groups, Pamir groups";"present";"Factual Statement by Author";NA;"progressive / progressivnyj"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"39263";"1961_4";"Groups, Pamir groups";"present";"Factual Statement by Author";NA;"changing / in a process of change"
"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"Western Pamirs / Sapadnyj Pamir";"393800";"1970_3";"Locations, Pamir";"past";"Factual Statement by Author";"Continuity";"traditional / narodnyj / nacional'nyj"
"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"Western Pamirs / Sapadnyj Pamir";"393800";"1970_3";"Locations, Pamir";"past";"Factual Statement by Author";"Continuity";"isolated / otdalennyj / trudnodostupnyj"
"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"Western Pamirs / Sapadnyj Pamir";"393800";"1970_3";"Locations, Pamir";"past";"Factual Statement by Author";"Continuity";"unique / locally specific / svoeobraznyj / samobytnyj"
"pripamirskie narodnosti / narody / pripamircy";"tadzhikojazychnoe naselenie";"394282";"1970_3";"Pamir groups, Groups";"present";"Factual Statement by Author";NA;"unique / locally specific / svoeobraznyj / samobytnyj"
"pamirskie tadzhiki Jazgulema";"pamirskie tadzhiki Shugnana";"403250";"1979_2";"Pamir groups, Pamir groups";"past: pre-Soviet";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"pamirskie tadzhiki Jazgulema";"pamirskie tadzhiki Rushana";"403250";"1979_2";"Pamir groups, Pamir groups";"past: pre-Soviet";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"pamirskie tadzhiki Ishkashima";"pamirskie tadzhiki Jazgulema";"403250";"1979_2";"Pamir groups, Pamir groups";"past: pre-Soviet";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"pamirskie tadzhiki Jazgulema";"pamirskie tadzhiki Vakhana";"403250";"1979_2";"Pamir groups, Pamir groups";"past: pre-Soviet";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"pamirskie tadzhiki Gorona";"pamirskie tadzhiki Jazgulema";"403250";"1979_2";"Pamir groups, Pamir groups";"past: pre-Soviet";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"pamirskie tadzhiki Rushana";"pamirskie tadzhiki Shugnana";"403250";"1979_2";"Pamir groups, Pamir groups";"past: pre-Soviet";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"pamirskie tadzhiki Ishkashima";"pamirskie tadzhiki Shugnana";"403250";"1979_2";"Pamir groups, Pamir groups";"past: pre-Soviet";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"pamirskie tadzhiki Shugnana";"pamirskie tadzhiki Vakhana";"403250";"1979_2";"Pamir groups, Pamir groups";"past: pre-Soviet";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"pamirskie tadzhiki Gorona";"pamirskie tadzhiki Shugnana";"403250";"1979_2";"Pamir groups, Pamir groups";"past: pre-Soviet";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"pamirskie tadzhiki Ishkashima";"pamirskie tadzhiki Rushana";"403250";"1979_2";"Pamir groups, Pamir groups";"past: pre-Soviet";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"pamirskie tadzhiki Rushana";"pamirskie tadzhiki Vakhana";"403250";"1979_2";"Pamir groups, Pamir groups";"past: pre-Soviet";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"pamirskie tadzhiki Gorona";"pamirskie tadzhiki Rushana";"403250";"1979_2";"Pamir groups, Pamir groups";"past: pre-Soviet";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"pamirskie tadzhiki Ishkashima";"pamirskie tadzhiki Vakhana";"403250";"1979_2";"Pamir groups, Pamir groups";"past: pre-Soviet";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"pamirskie tadzhiki Gorona";"pamirskie tadzhiki Ishkashima";"403250";"1979_2";"Pamir groups, Pamir groups";"past: pre-Soviet";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"pamirskie tadzhiki Gorona";"pamirskie tadzhiki Vakhana";"403250";"1979_2";"Pamir groups, Pamir groups";"past: pre-Soviet";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"Ishkashim / Ishkashimskij rajon";"Vakhan";"405267";"1971_5";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO, Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"past: pre-Soviet";"Factual Statement by Author";NA;"isolated / otdalennyj / trudnodostupnyj"
"Ishkashim / Ishkashimskij rajon";"Vakhan";"405267";"1971_5";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO, Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"Ishkashim / Ishkashimskij rajon";"Western Pamirs / Sapadnyj Pamir";"405267";"1971_5";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO, Pamir";"past: pre-Soviet";"Factual Statement by Author";NA;"isolated / otdalennyj / trudnodostupnyj"
"Ishkashim / Ishkashimskij rajon";"Western Pamirs / Sapadnyj Pamir";"405267";"1971_5";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO, Pamir";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"Vakhan";"Western Pamirs / Sapadnyj Pamir";"405267";"1971_5";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO, Pamir";"past: pre-Soviet";"Factual Statement by Author";NA;"isolated / otdalennyj / trudnodostupnyj"
"Vakhan";"Western Pamirs / Sapadnyj Pamir";"405267";"1971_5";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO, Pamir";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"pamirskie tadzhiki Gorona";"pamirskie tadzhiki Vakhana";"405765";"1979_2";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"pamirskie tadzhiki Gorona";"pamirskie tadzhiki Vakhana";"405765";"1979_2";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"diverse / mnogoobrazno"
"pamirskie tadzhiki Shugnana";"pamirskie tadzhiki Vakhana";"405765";"1979_2";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"pamirskie tadzhiki Shugnana";"pamirskie tadzhiki Vakhana";"405765";"1979_2";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"diverse / mnogoobrazno"
"pamirskie tadzhiki Rushana";"pamirskie tadzhiki Vakhana";"405765";"1979_2";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"pamirskie tadzhiki Rushana";"pamirskie tadzhiki Vakhana";"405765";"1979_2";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"diverse / mnogoobrazno"
"pamirskie tadzhiki";"pamirskie tadzhiki Vakhana";"405765";"1979_2";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"pamirskie tadzhiki";"pamirskie tadzhiki Vakhana";"405765";"1979_2";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"diverse / mnogoobrazno"
"pamirskie tadzhiki Jazgulema";"pamirskie tadzhiki Vakhana";"405765";"1979_2";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"pamirskie tadzhiki Jazgulema";"pamirskie tadzhiki Vakhana";"405765";"1979_2";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"diverse / mnogoobrazno"
"pamirskie tadzhiki Ishkashima";"pamirskie tadzhiki Vakhana";"405765";"1979_2";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
