"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"narrative"
"kazakhi";"Lithuania";"37827";"1977_6";"Central Asian titular nations, Locations";"present";NA;NA;"modernization / socialist progress"
"kazakhi";"tadzhiki";"37827";"1977_6";"Central Asian titular nations, Groups";"present";NA;NA;"socialist internationalism / druzhba narodov"
"kazakhi";"tadzhiki";"37827";"1977_6";"Central Asian titular nations, Groups";"present";NA;NA;"modernization / socialist progress"
"kazakhi";"kirgizy";"37827";"1977_6";"Central Asian titular nations, Central Asian titular nations";"present";NA;NA;"socialist internationalism / druzhba narodov"
"kazakhi";"kirgizy";"37827";"1977_6";"Central Asian titular nations, Central Asian titular nations";"present";NA;NA;"modernization / socialist progress"
"kazakhi";"turkmeny";"37827";"1977_6";"Central Asian titular nations, Central Asian titular nations";"present";NA;NA;"socialist internationalism / druzhba narodov"
"kazakhi";"turkmeny";"37827";"1977_6";"Central Asian titular nations, Central Asian titular nations";"present";NA;NA;"modernization / socialist progress"
"Lithuania";"tadzhiki";"37827";"1977_6";"Locations, Groups";"present";NA;NA;"socialist internationalism / druzhba narodov"
"Lithuania";"tadzhiki";"37827";"1977_6";"Locations, Groups";"present";NA;NA;"modernization / socialist progress"
"Lithuania";"turkmeny";"37827";"1977_6";"Locations, Central Asian titular nations";"present";NA;NA;"socialist internationalism / druzhba narodov"
"Lithuania";"turkmeny";"37827";"1977_6";"Locations, Central Asian titular nations";"present";NA;NA;"modernization / socialist progress"
"tadzhiki";"turkmeny";"37827";"1977_6";"Groups, Central Asian titular nations";"present";NA;NA;"socialist internationalism / druzhba narodov"
"tadzhiki";"turkmeny";"37827";"1977_6";"Groups, Central Asian titular nations";"present";NA;NA;"modernization / socialist progress"
"kirgizy";"Lithuania";"37827";"1977_6";"Central Asian titular nations, Locations";"present";NA;NA;"socialist internationalism / druzhba narodov"
"kirgizy";"Lithuania";"37827";"1977_6";"Central Asian titular nations, Locations";"present";NA;NA;"modernization / socialist progress"
"kirgizy";"tadzhiki";"37827";"1977_6";"Central Asian titular nations, Groups";"present";NA;NA;"socialist internationalism / druzhba narodov"
"kirgizy";"tadzhiki";"37827";"1977_6";"Central Asian titular nations, Groups";"present";NA;NA;"modernization / socialist progress"
"kirgizy";"turkmeny";"37827";"1977_6";"Central Asian titular nations, Central Asian titular nations";"present";NA;NA;"socialist internationalism / druzhba narodov"
"kirgizy";"turkmeny";"37827";"1977_6";"Central Asian titular nations, Central Asian titular nations";"present";NA;NA;"modernization / socialist progress"
"Tajikistan / TadzhSSR";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"socialist internationalism / druzhba narodov"
"Tajikistan / TadzhSSR";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"modernization / socialist progress"
"Tajikistan / TadzhSSR";"Uzbekistan / Uzbekskaja SSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"socialist internationalism / druzhba narodov"
"Tajikistan / TadzhSSR";"Uzbekistan / Uzbekskaja SSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"modernization / socialist progress"
"Kirgizija / Kirgizskaja SSR";"Tajikistan / TadzhSSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"socialist internationalism / druzhba narodov"
"Kirgizija / Kirgizskaja SSR";"Tajikistan / TadzhSSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"modernization / socialist progress"
"gosudarstva Vostoka";"Tajikistan / TadzhSSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"socialist internationalism / druzhba narodov"
"gosudarstva Vostoka";"Tajikistan / TadzhSSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"modernization / socialist progress"
"Turkmenistan / Turkmenija / Turkmenskaja SSR";"Uzbekistan / Uzbekskaja SSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"socialist internationalism / druzhba narodov"
"Turkmenistan / Turkmenija / Turkmenskaja SSR";"Uzbekistan / Uzbekskaja SSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"modernization / socialist progress"
"Kirgizija / Kirgizskaja SSR";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"socialist internationalism / druzhba narodov"
"Kirgizija / Kirgizskaja SSR";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"modernization / socialist progress"
"gosudarstva Vostoka";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"socialist internationalism / druzhba narodov"
"gosudarstva Vostoka";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"modernization / socialist progress"
"Kirgizija / Kirgizskaja SSR";"Uzbekistan / Uzbekskaja SSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"socialist internationalism / druzhba narodov"
"Kirgizija / Kirgizskaja SSR";"Uzbekistan / Uzbekskaja SSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"modernization / socialist progress"
"gosudarstva Vostoka";"Uzbekistan / Uzbekskaja SSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"socialist internationalism / druzhba narodov"
"gosudarstva Vostoka";"Uzbekistan / Uzbekskaja SSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"modernization / socialist progress"
"gosudarstva Vostoka";"Kirgizija / Kirgizskaja SSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"socialist internationalism / druzhba narodov"
"gosudarstva Vostoka";"Kirgizija / Kirgizskaja SSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"modernization / socialist progress"
"kirgizy Karategina";"tadzhiki";"392426";"1984_4";"kirgizy, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"jagnobcy / Yaghnobis";"tadzhiki";"39263";"1961_4";"groups in mountainous regions, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"jagnobcy / Yaghnobis";"tadzhiki";"39263";"1961_4";"groups in mountainous regions, Groups";"present";"Factual Statement by Author";NA;"modernization / socialist progress"
"jagnobcy / Yaghnobis";"tadzhiki";"39263";"1961_4";"groups in mountainous regions, Groups";"present";"Factual Statement by Author";NA;"development of national in form, socialist in content culture"
"jagnobcy / Yaghnobis";"pripamirskie narodnosti / narody / pripamircy";"39263";"1961_4";"groups in mountainous regions, Pamiri groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"jagnobcy / Yaghnobis";"pripamirskie narodnosti / narody / pripamircy";"39263";"1961_4";"groups in mountainous regions, Pamiri groups";"present";"Factual Statement by Author";NA;"modernization / socialist progress"
"jagnobcy / Yaghnobis";"pripamirskie narodnosti / narody / pripamircy";"39263";"1961_4";"groups in mountainous regions, Pamiri groups";"present";"Factual Statement by Author";NA;"development of national in form, socialist in content culture"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"39263";"1961_4";"Pamiri groups, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"39263";"1961_4";"Pamiri groups, Groups";"present";"Factual Statement by Author";NA;"modernization / socialist progress"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"39263";"1961_4";"Pamiri groups, Groups";"present";"Factual Statement by Author";NA;"development of national in form, socialist in content culture"
"Historical Northern Tajikistan (Sogd + Ferghana)";"Historical Southern Tajikistan (Baktria / Tokharistan)";"407903";"1969_3";"Historical locations, Historical locations";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"slijanie / sblizhenie / fusion / convergence"
"Ferghana / Ferganskaja dolina";"Karategin";"417695";"1954_3";"Northern Tajikistan, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"modernization / socialist progress"
"gornye tadzhiki";"Soviet Union";"419734";"1954_3";"groups in mountainous regions, Locations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"Sovietization"
"gornye tadzhiki";"Soviet Union";"419734";"1954_3";"groups in mountainous regions, Locations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"modernization / socialist progress"
"gornye tadzhiki";"Karategin";"419734";"1954_3";"groups in mountainous regions, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"Sovietization"
"gornye tadzhiki";"Karategin";"419734";"1954_3";"groups in mountainous regions, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"modernization / socialist progress"
"Karategin";"Soviet Union";"419734";"1954_3";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, Locations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"Sovietization"
"Karategin";"Soviet Union";"419734";"1954_3";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, Locations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"modernization / socialist progress"
"gornye tadzhiki";"ravniny juzhnogo Tadzhikistana / Southern Tajikistan plainlands";"419785";"1954_3";"groups in mountainous regions, plainland regions Southern Tajikistan";"present";"Factual Statement by Author";"Rupture";"control over nature / making land arable / osvoenie zemel'"
"gornye tadzhiki";"ravniny juzhnogo Tadzhikistana / Southern Tajikistan plainlands";"419785";"1954_3";"groups in mountainous regions, plainland regions Southern Tajikistan";"present";"Factual Statement by Author";"Rupture";"modernization / socialist progress"
"gornye tadzhiki";"gorodskoe naselenie ravninnoj chasti Tadzhikistana";"429112";"1959_6";"groups in mountainous regions, gorodskoe naselenie Tadzh. / urban population of Tajikistan";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"pre-Soviet modernization during Russian colonial rule"
"gornye tadzhiki";"gorodskoe naselenie ravninnoj chasti Tadzhikistana";"429112";"1959_6";"groups in mountainous regions, gorodskoe naselenie Tadzh. / urban population of Tajikistan";"past: pre-Soviet";"Literature Review";NA;"pre-Soviet modernization during Russian colonial rule"
"karakalpaki";"turkmeny";"43187";"1962_6";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"karakalpaki";"turkmeny";"43187";"1962_6";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"raskreposshenie zhensshin / liberation of women"
"karakalpaki";"tadzhiki-matchincy v Dal'verzinskoj stepi";"43187";"1962_6";"Groups, groups in mountainous regions";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"karakalpaki";"tadzhiki-matchincy v Dal'verzinskoj stepi";"43187";"1962_6";"Groups, groups in mountainous regions";"present";"Factual Statement by Author";NA;"raskreposshenie zhensshin / liberation of women"
"tadzhiki-matchincy v Dal'verzinskoj stepi";"turkmeny";"43187";"1962_6";"groups in mountainous regions, Central Asian titular nations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"tadzhiki-matchincy v Dal'verzinskoj stepi";"turkmeny";"43187";"1962_6";"groups in mountainous regions, Central Asian titular nations";"present";"Factual Statement by Author";NA;"raskreposshenie zhensshin / liberation of women"
"prisyrdar'inskie rajony";"tadzhiki Nuratinskogo khrebta";"43508";"1964_1";"Northern Tajikistan, groups in mountainous regions";"present";"Factual Statement by Author";NA;"closing gap between city and countryside / village"
"prisyrdar'inskie rajony";"tadzhiki Nuratinskogo khrebta";"43508";"1964_1";"Northern Tajikistan, groups in mountainous regions";"present";"Factual Statement by Author";NA;"control over nature / making land arable / osvoenie zemel'"
"prisyrdar'inskie rajony";"tadzhiki Nuratinskogo khrebta";"43508";"1964_1";"Northern Tajikistan, groups in mountainous regions";"present";"Factual Statement by Author";NA;"modernization / socialist progress"
"prisyrdar'inskie rajony";"tadzhiki Nuratinskogo khrebta";"43508";"1964_1";"Northern Tajikistan, groups in mountainous regions";"past: Stalinist era / 1930s-40s";"Factual Statement by Author";NA;"closing gap between city and countryside / village"
"prisyrdar'inskie rajony";"tadzhiki Nuratinskogo khrebta";"43508";"1964_1";"Northern Tajikistan, groups in mountainous regions";"past: Stalinist era / 1930s-40s";"Factual Statement by Author";NA;"control over nature / making land arable / osvoenie zemel'"
"prisyrdar'inskie rajony";"tadzhiki Nuratinskogo khrebta";"43508";"1964_1";"Northern Tajikistan, groups in mountainous regions";"past: Stalinist era / 1930s-40s";"Factual Statement by Author";NA;"modernization / socialist progress"
"tadzhiki v sostave Rossijskogo gosudarstva (Russian Empire)";"tadzhiki Zeravshanskoj doliny";"437353";"1953_2";"Historical groups, tadzhiki";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"pre-Soviet modernization during Russian colonial rule"
"tadzhiki v sostave Rossijskogo gosudarstva (Russian Empire)";"tadzhiki Zeravshanskoj doliny";"437353";"1953_2";"Historical groups, tadzhiki";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"change in pre-socialist socio-economic formations"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"438780";"1969_5";"Pamiri groups, Groups";NA;"Literature Review";NA;"slijanie / sblizhenie / fusion / convergence"
"naselenie / zhiteli Sapadnogo Pamira";"pripamirskie narodnosti / narody / pripamircy";"438780";"1969_5";"Pamiri groups, Pamiri groups";NA;"Literature Review";NA;"slijanie / sblizhenie / fusion / convergence"
"naselenie / zhiteli Sapadnogo Pamira";"tadzhiki";"438780";"1969_5";"Pamiri groups, Groups";NA;"Literature Review";NA;"slijanie / sblizhenie / fusion / convergence"
"gorcy-tadzhiki / tadzhiki-gorcy";"pripamirskie rajony / Pripamir'e";"446904";"1955_4";"gornye tadzhiki, Pamir";"present";NA;"Rupture";"modernization / socialist progress"
"gorcy-tadzhiki / tadzhiki-gorcy";"pripamirskie rajony / Pripamir'e";"446904";"1955_4";"gornye tadzhiki, Pamir";"present";NA;"Rupture";"Sovietization"
"gorcy-tadzhiki / tadzhiki-gorcy";"pripamirskie rajony / Pripamir'e";"446904";"1955_4";"gornye tadzhiki, Pamir";"present";NA;"Rupture";"control over nature / making land arable / osvoenie zemel'"
"gorcy-tadzhiki / tadzhiki-gorcy";"Karategin";"446904";"1955_4";"gornye tadzhiki, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"present";NA;"Rupture";"modernization / socialist progress"
"gorcy-tadzhiki / tadzhiki-gorcy";"Karategin";"446904";"1955_4";"gornye tadzhiki, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"present";NA;"Rupture";"Sovietization"
"gorcy-tadzhiki / tadzhiki-gorcy";"Karategin";"446904";"1955_4";"gornye tadzhiki, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"present";NA;"Rupture";"control over nature / making land arable / osvoenie zemel'"
"Darvaz";"gorcy-tadzhiki / tadzhiki-gorcy";"446904";"1955_4";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, gornye tadzhiki";"present";NA;"Rupture";"modernization / socialist progress"
"Darvaz";"gorcy-tadzhiki / tadzhiki-gorcy";"446904";"1955_4";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, gornye tadzhiki";"present";NA;"Rupture";"Sovietization"
"Darvaz";"gorcy-tadzhiki / tadzhiki-gorcy";"446904";"1955_4";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, gornye tadzhiki";"present";NA;"Rupture";"control over nature / making land arable / osvoenie zemel'"
"Darvaz";"pripamirskie rajony / Pripamir'e";"446904";"1955_4";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, Pamir";"present";NA;"Rupture";"modernization / socialist progress"
"Darvaz";"pripamirskie rajony / Pripamir'e";"446904";"1955_4";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, Pamir";"present";NA;"Rupture";"Sovietization"
"Darvaz";"pripamirskie rajony / Pripamir'e";"446904";"1955_4";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, Pamir";"present";NA;"Rupture";"control over nature / making land arable / osvoenie zemel'"
"Darvaz";"Karategin";"446904";"1955_4";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"present";NA;"Rupture";"modernization / socialist progress"
"Darvaz";"Karategin";"446904";"1955_4";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"present";NA;"Rupture";"Sovietization"
"Darvaz";"Karategin";"446904";"1955_4";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"present";NA;"Rupture";"control over nature / making land arable / osvoenie zemel'"
"Karategin";"pripamirskie rajony / Pripamir'e";"446904";"1955_4";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, Pamir";"present";NA;"Rupture";"modernization / socialist progress"
"Karategin";"pripamirskie rajony / Pripamir'e";"446904";"1955_4";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, Pamir";"present";NA;"Rupture";"Sovietization"
"Karategin";"pripamirskie rajony / Pripamir'e";"446904";"1955_4";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, Pamir";"present";NA;"Rupture";"control over nature / making land arable / osvoenie zemel'"
"Eastern and Central regions of Uzbekistan";"Northern Tajikistan";"46310";"1962_6";"Uzbekistan / Uzbekskaja SSR, Tajikistan / TadzhSSR";"present";"Factual Statement by Author";"Continuity";"slijanie / sblizhenie / fusion / convergence"
"kirgizy Dzhirgatal'skogo rajona Tadzhikskoj SSR";"tadzhiki Dzhirgatal'skogo rajona Tadzhikskoj SSR";"468146";"1955_4";"kirgizy, tadzhiki";"present";"Factual Statement by Author";"Rupture";"slijanie / sblizhenie / fusion / convergence"
"Soviet Union";"tadzhiki";"46897";"1982_3";"Locations, Groups";"past: early Soviet";"Factual Statement by Author";NA;"Sovietization"
"Soviet Union";"tadzhiki";"46897";"1982_3";"Locations, Groups";"past: early Soviet";"Factual Statement by Author";NA;"raskreposshenie zhensshin / liberation of women"
"kirgizy Dzhirgatal'skogo rajona Tadzhikskoj SSR";"tadzhiki Dzhirgatal'skogo rajona Tadzhikskoj SSR";"469590";"1955_4";"kirgizy, tadzhiki";NA;NA;NA;"slijanie / sblizhenie / fusion / convergence"
"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"tadzhiki";"47405";"1960_2";"Groups in Iran, Groups";"present";"Factual Statement by Author";NA;"criticism of the unjust treatment of national / ethnic groups"
"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"tadzhiki";"47405";"1960_2";"Groups in Iran, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"sredneaziatskie araby / Central Asian Arabs";"47405";"1960_2";"Groups in Iran, Groups";"present";"Factual Statement by Author";NA;"criticism of the unjust treatment of national / ethnic groups"
"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"sredneaziatskie araby / Central Asian Arabs";"47405";"1960_2";"Groups in Iran, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"""cygane"" / pejorative exonym for the Romani people";"tadzhiki";"47405";"1960_2";"Groups, Groups";"present";"Factual Statement by Author";NA;"criticism of the unjust treatment of national / ethnic groups"
"""cygane"" / pejorative exonym for the Romani people";"tadzhiki";"47405";"1960_2";"Groups, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"sredneaziatskie araby / Central Asian Arabs";"tadzhiki";"47405";"1960_2";"Groups, Groups";"present";"Factual Statement by Author";NA;"criticism of the unjust treatment of national / ethnic groups"
"sredneaziatskie araby / Central Asian Arabs";"tadzhiki";"47405";"1960_2";"Groups, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"""cygane"" / pejorative exonym for the Romani people";"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"47405";"1960_2";"Groups, Groups in Iran";"present";"Factual Statement by Author";NA;"criticism of the unjust treatment of national / ethnic groups"
"""cygane"" / pejorative exonym for the Romani people";"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"47405";"1960_2";"Groups, Groups in Iran";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"""cygane"" / pejorative exonym for the Romani people";"sredneaziatskie araby / Central Asian Arabs";"47405";"1960_2";"Groups, Groups";"present";"Factual Statement by Author";NA;"criticism of the unjust treatment of national / ethnic groups"
"""cygane"" / pejorative exonym for the Romani people";"sredneaziatskie araby / Central Asian Arabs";"47405";"1960_2";"Groups, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"tadzhiki Samarkanda i Bukhary (Uzbekistan)";"uzbeki";"474529";"1989_1";"Tajiks outside the Tajik SSR, Central Asian titular nations";"past: Stalinist era / 1930s-40s";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"forced assimilation / uzbekizacija"
"tadzhiki Samarkanda i Bukhary (Uzbekistan)";"uzbeki";"478446";"1989_1";"Tajiks outside the Tajik SSR, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"forced assimilation / uzbekizacija"
"karakalpaki";"tadzhiki";"479596";"1983_6";"Groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"Sovietization"
"karakalpaki";"tadzhiki";"479596";"1983_6";"Groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"modernization / socialist progress"
"karakalpaki";"tadzhiki";"479596";"1983_6";"Groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"raskreposshenie zhensshin / liberation of women"
"tadzhiki Bukhary (Uzbekistan)";"uzbeki";"48893";"1991_1";"Tajiks outside the Tajik SSR, Central Asian titular nations";"past: early Soviet";"Factual Statement by Author";NA;"forced assimilation / uzbekizacija"
"tadzhiki Samarkanda (Uzbekistan)";"uzbeki";"49034";"1991_1";"Tajiks outside the Tajik SSR, Central Asian titular nations";"past: early Soviet";"Factual Statement by Author";NA;"forced assimilation / uzbekizacija"
"sel'skoe naselenie gornykh rajonov Tadzhikistana";"tadzhiki";"492871";"1957_2";"sel'skoe naselenie Tadzh. / rural population of Tajikistan, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";"Continuity";"battle against perezhitki / survivals"
"tadzhiki";"tjurkojazychnye narody";"505083";"1989_4";"Groups, tjurki";"past: pre-Russian Empire / pre-Russian colonialism";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"forced assimilation / tjurkizacija"
"tadzhiki";"tjurkskie narody";"51063";"1983_6";"Groups, tjurki";"present";NA;NA;"lost battle against perezhitki / survivals"
"tadzhiki";"tjurkskie narody";"51063";"1983_6";"Groups, tjurki";"present";NA;NA;"failed modernization"
"tadzhiki";"uzbeki";"51463";"1960_2";"Groups, Central Asian titular nations";NA;"Factual Statement by Author";NA;"control over nature / making land arable / osvoenie zemel'"
"Ferghana / Ferganskaja dolina";"Golodnaja step'";"522873";"1955_3";"Northern Tajikistan, plainland regions Northern Tajikistan";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"modernization / socialist progress"
"Ferghana / Ferganskaja dolina";"Golodnaja step'";"522873";"1955_3";"Northern Tajikistan, plainland regions Northern Tajikistan";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"control over nature / making land arable / osvoenie zemel'"
"Ferghana / Ferganskaja dolina";"Golodnaja step'";"522873";"1955_3";"Northern Tajikistan, plainland regions Northern Tajikistan";"present";"Correction of cited research or literature";"Rupture";"modernization / socialist progress"
"Ferghana / Ferganskaja dolina";"Golodnaja step'";"522873";"1955_3";"Northern Tajikistan, plainland regions Northern Tajikistan";"present";"Correction of cited research or literature";"Rupture";"control over nature / making land arable / osvoenie zemel'"
"tadzhiki Bukhary (Uzbekistan)";"tadzhiki Samarkanda (Uzbekistan)";"53066";"1991_1";"Tajiks outside the Tajik SSR, Tajiks outside the Tajik SSR";"past: Stalinist era / 1930s-40s";"Factual Statement by Author";NA;"forced assimilation / uzbekizacija"
"tadzhiki Bukhary (Uzbekistan)";"tadzhiki Samarkanda (Uzbekistan)";"53066";"1991_1";"Tajiks outside the Tajik SSR, Tajiks outside the Tajik SSR";"past: Stalinist era / 1930s-40s";"Factual Statement by Author";NA;"failed solution of the nationalities problem"
"tadzhiki Bukhary (Uzbekistan)";"tadzhiki Samarkanda (Uzbekistan)";"53066";"1991_1";"Tajiks outside the Tajik SSR, Tajiks outside the Tajik SSR";"past: early Soviet";"Factual Statement by Author";NA;"forced assimilation / uzbekizacija"
"tadzhiki Bukhary (Uzbekistan)";"tadzhiki Samarkanda (Uzbekistan)";"53066";"1991_1";"Tajiks outside the Tajik SSR, Tajiks outside the Tajik SSR";"past: early Soviet";"Factual Statement by Author";NA;"failed solution of the nationalities problem"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"532275";"1961_1";"Pamiri groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"Tajikistan / TadzhSSR";"Uzbekistan / Uzbekskaja SSR";"53518";"1960_2";"Locations, Locations";"present";"Factual Statement by Author";NA;"control over nature / making land arable / osvoenie zemel'"
"araby v Uzbekistane";"uzbeki";"542763";"1989_4";"sredneaziatskie araby / Central Asian Arabs, Central Asian titular nations";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"forced assimilation / uzbekizacija"
"araby v Uzbekistane";"tadzhiki v Uzbekistane / Tajiks in Uzbekistan";"542763";"1989_4";"sredneaziatskie araby / Central Asian Arabs, Tajiks outside the Tajik SSR";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"forced assimilation / uzbekizacija"
"tadzhiki v Uzbekistane / Tajiks in Uzbekistan";"uzbeki";"542763";"1989_4";"Tajiks outside the Tajik SSR, Central Asian titular nations";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"forced assimilation / uzbekizacija"
"tadzhiki Nuratinskogo khrebta";"Vostochnaja Bukhara / Bukharskoe khanstvo / Bukharskij emirat";"54755";"1964_1";"groups in mountainous regions, Historical locations";"present";"Factual Statement by Author";"Continuity";"closing gap between city and countryside / village"
"Samarkand";"tadzhiki Nuratinskogo khrebta";"54755";"1964_1";"Uzbekistan / Uzbekskaja SSR, groups in mountainous regions";"present";"Factual Statement by Author";"Continuity";"closing gap between city and countryside / village"
"Samarkand";"Vostochnaja Bukhara / Bukharskoe khanstvo / Bukharskij emirat";"54755";"1964_1";"Uzbekistan / Uzbekskaja SSR, Historical locations";"present";"Factual Statement by Author";"Continuity";"closing gap between city and countryside / village"
"tadzhiki";"vakhancy";"55318";"1989_5";"Groups, Pamiri groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"forced assimilation / otadzhikovanie"
